课程ID,编号,任课单位,分组编号,课程,课程性质,教室,上课时间,周次,学分,理论学时,实验学时,实践,总学时,教师,计划人数,已选人数,余容,优选专业,锁定,校区,课程类别,课程体系,排课类别,单列实验
886507559726950981990254906711989721089990675038860344978668977281998294,300311986,马克思主义学院,形势与政策Ⅳ4192019_1,形势与政策Ⅳ,必修,10-小礼堂,"1-9,1-10","12,14,16",.5,6,0,0,8,傅新禾,645,252,393,"计算机(职)201901,计算机(职)201902,计算机(职)201903,物联网201901,物联网201902,物联网201903,物联网201904",否,雅安,-,公共课,混教,否
899679718661855286022107906711988199759489303376893060368937077689910731,300311369,马克思主义学院,形势与政策Ⅳ422201903010101,形势与政策Ⅳ,必修,10-小礼堂,"4-9,4-10","12,14,16",.5,6,0,0,8,毛平,645,253,392,"法学201901,法学201902,法学201903,法学201904,法学201905,法学201906,法学201907",否,雅安,-,公共课,混教,否
893060368864670597269509813383938661981290675038886569058865285597216459,300311855,马克思主义学院,形势与政策Ⅳ4182019_1,形势与政策Ⅳ,必修,10-小礼堂,"3-7,3-8","12,14,16",.5,6,0,0,8,杨希,645,268,377,"食工201903,食工201904,食工201905,食工201906,包装201901,包装201902,食工(职)201901,食工(职)201902,食工(职)201903,食工201901,食工201902",否,雅安,-,公共课,混教,否
899679718661855286022107893060368133513389308156819975948199025497210899,300315101,马克思主义学院,形势与政策Ⅳ104,形势与政策Ⅳ,必修,10-小礼堂,"4-3,4-4","12,14,16",.5,6,0,0,8,杨希,645,269,376,"生工201901,生工201902,生工201903,生工201904,生工201905,生工201906,食质201901,食质201902,食质201903,食质201904,食质201905",否,雅安,-,公共课,混教,否
972136198661855288646705899679718661981297210899860337878937479688648805,300311892,马克思主义学院,形势与政策Ⅳ4202019_1,形势与政策Ⅳ,必修,10-小礼堂,"2-5,2-6","12,14,16",.5,6,0,0,8,李迪慧,645,275,370,"能动201901,能动201902,能动201903,能动201904,能动201905,水电201901,水电201902,水电201903,水电201904,水电201905,水电201906",否,雅安,-,公共课,混教,否
972136199726950997269509819942148930337689959711813463138864880588646705,300311920,马克思主义学院,形势与政策Ⅳ4232019_1,形势与政策Ⅳ,必修,10-小礼堂,"1-7,1-8","12,14,16",.5,6,0,0,8,李迪慧,645,280,365,"体育201901,体育201902,体育201903,体育教育201901,体育教育201902,体育教育201903,休闲体育201901,休闲体育201902",否,雅安,-,公共课,混教,否
906711989067365886618552899679719067503886685752860221078991073197211849,300315096,马克思主义学院,形势与政策Ⅳ102,形势与政策Ⅳ,必修,10-小礼堂,"3-7,3-8","11,13,15",.5,6,0,0,8,毛平,645,293,352,"社工201901,社工201902,社工201903,政治学201901,政治学201902,政治学201903,信息201901,信息201902,信息201903",否,雅安,-,公共课,混教,否
819942148995180181334403899679719721089990675038866811929062793881335133,300311761,马克思主义学院,形势与政策Ⅳ4292019_2,形势与政策Ⅳ,必修,10-小礼堂,"3-3,3-4","12,14,16",.5,6,0,0,8,毛平,645,294,351,"人力201901,人力201902,人力201903,人力201904,文化201901,文化201902,文化201903,行政管理201901,行政管理201902",否,雅安,-,公共课,混教,否
819942149067365890673658819942148199759486029257866198128864670589304616,300315102,马克思主义学院,形势与政策Ⅳ103,形势与政策Ⅳ,必修,10-小礼堂,"5-3,5-4","12,14,16",.5,6,0,0,8,李迪慧,645,295,350,"电气201901,电气201902,电气201903,电气201904,电气201905,电气201906,数字媒体201901,数字媒体201902,数字媒体201903",否,雅安,-,公共课,混教,否
860266378199025490673658906711988661981297215069860337879067647888000914,300314828,马克思主义学院,形势与政策Ⅳ101,形势与政策Ⅳ,必修,10-小礼堂,"2-1,2-2","12,14,16",.5,6,0,0,8,毛平,645,302,343,"农机(职)201901,农机(职)201902,化学201901,化学201902,化学201903,化学201904,水利201901,水利201902,水利201903,水利201904,水利201905",否,雅安,-,公共课,混教,否
813383939726950997269509886507558995971197216459886582559062337881992934,300315972, ,中华国学（MOOC）选101,中华国学（MOOC）,公共选修课,-,-,2-17,2,0,0,0,38,无,300,0,300,全校,否,雅安,人文社科类, ,选课,否
972136198199025486022107893060369721089988652855893747968603781786686412,300315976, ,世界著名博物馆艺术经典（MOOC）选101,世界著名博物馆艺术经典（MOOC）,公共选修课,-,-,2-17,2,0,0,0,30,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
906711988199025486022107899679718930337681996954906260188937741681999634,300315977, ,科学素养培育及提升（MOOC）选101,科学素养培育及提升（MOOC）,公共选修课,-,-,2-17,2,0,0,0,28,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
886507558199025489951801899679718661981289308156860344978668977286037817,300315987, ,西方社会思想两千年（MOOC）选101,西方社会思想两千年（MOOC）,公共选修课,-,-,2-17,2,0,0,0,32,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
906711989067365890673658906711988930337688652855893747968668977288000914,300315988, ,社会调查与研究方法（MOOC）选101,社会调查与研究方法（MOOC）,公共选修课,-,-,2-17,2,0,0,0,28,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
893060368995180186022107866825728930337690627938893079568199025490623378,300316007, ,逻辑学导论（MOOC）选101,逻辑学导论（MOOC）,公共选修课,-,-,2-17,1,0,0,0,19,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
819942148995180197269509819942148661981281342383899518018995971181335133,300316011, ,公共关系与人际交往能力（MOOC）选101,公共关系与人际交往能力（MOOC）,公共选修课,-,-,3-17,2,0,0,0,36,无,300,0,300,全校,否,雅安,人文社科类, ,选课,否
